text,language
 Achcha amar gp sim ta off na on ei ta dekar code ta koto? ,anglo-bangla
 5 tk 500 mb dial *5000*150# offer ta koto din porjonto thakbe? ,anglo-bangla
 gp te 78 takar recharge ki hobe ,anglo-bangla
 gp te advance balance die mb kina jai na kn? bl ar onno sob sim e advance balance die mb kina jai..apnara advance diben tarpor amra ja khushi ta krbo..sudhu ktha bola ar message e pathano jai..disgusting..gp calanoi off koira dite hobe dekha jai.. ,anglo-bangla
 aj sokale amar sim e ekta message asce j 9 takai 1 gb kre 5 bar pabo.... bt 9 tk recharge krte gele deki 9 tk recharge hocce na,anglo-bangla
 350 takar bitor a ki kono valo offer asa....mb ,anglo-bangla
Jani apnara kisu korte parben na.sudu bolben dukkito.gp number sobai jane tai chalate hoy.ami month a 3000 takar kotha bli.kisu blar nai. ,anglo-bangla
 Assalamualaikum..amar akta postpaid sim achey jeta registration kori hoi ni.akhon ki ami sim ta registration korte parbo?? ,anglo-bangla
 eta to onek din thekei bolteche..kobe r tik hobe..taratari koren? ,anglo-bangla
Apni je kono akta offer avail korte parben. ,anglo-bangla
 amke to janano hoy na ,anglo-bangla
Dukkhito  .  amader ekhon ei dhoroner kono regular offer nei.,anglo-bangla
Amader ei offer 48 hour er moddhe pawa jabe. ,anglo-bangla
 ki boli ar apni ki ans den...? ,anglo-bangla
Amader night package gulo hocche.,anglo-bangla
 @সজীব .  dukkhito .  amader emon kono regular offer chalu nei. Tobe apni SMS pele sheta onushoron kore offer ti nite parben. ,anglo-bangla
 @সজীব .  dukkhito .  eta amader kono regular offer na. Tobe apni SMS pele sheta follow kore offer ti nite parben. ,anglo-bangla
 @Arian .  dukkhito .  amader bondho SIM e emon kono offer chalu nei. 9Tk te 1GB offer ti shudhu notun SIM er jonno projojjo. ,anglo-bangla
 Bolen plz bondo sim a tho takar kota ,anglo-bangla
Apnar number ti ei offer er jonno eligible kina jante OctSpace017XXXXXXXX likhe pat ,anglo-bangla
 34 taka reacharge 1 gb koto bar nite parbo?? ,anglo-bangla
  mas ar jono kinbo ke vaba? ,anglo-bangla
 @Sadi Khan .  Amader ei game box service ti bondho korar jonno onugroho kore nicher link ti visit korun httpappsclub.grameenphone.comstore . Ei link e gie account e click korle apni apnar ei service ti bondho kore nite parben. ,anglo-bangla
 @Mrst Bananee .  Apnar valuable motamot ti amader sathe share korar jonno onshonkho dhonnobad. Apnar feedback ti duly note kora hoyeche. ,anglo-bangla
28 days er facebook pack kinte apnar charge hobe tk18.26including VAT . SD . SC.Pack ti nite o balance jante *121# dial kore poroborti instruction follow korun. ,anglo-bangla
 emn ajob qstn er kono mane hoy na ,anglo-bangla
 kintu ami new sim a 20 tk palam....pls ami ki offer ti pabo? ,anglo-bangla
 Flexiplan thekee ..amr taka diye ki kaw k sms gift korte parboo...?? ,anglo-bangla
 amr gp sim ta fon e lagiye on krle bar bar shudhu fon restart ney. Ki krte pari blben ki? ,anglo-bangla
 Ami nibo but tar age ami detels jante chai sat ti somporke. Jodi bolen? ,anglo-bangla
 Amr ekta gp post paid sim xplore special ase . ajke dekhi sim er connection nai..maybe payment na korar jonno emn hoilo.. Sim ta abar ager moto active kora jay kivabe ?? ,anglo-bangla
 @Asif Mirza . Amader product ebong service related kono query thakle kindly ta amader sathe share korle asha korchi sothik feedback dite parbo. ,anglo-bangla
Amader sokol bortoman offer jnate please amader website visit korun othoba apnar number er special offer ache kina jante please dial korun *121# ,anglo-bangla
1. Website jodi nirdisto kono website e problem hoye thake,anglo-bangla
 dosto amaro akei problem .  mb pack gulo ato rate call rate aro baje . vabsi gp sim e r use korbo na ,anglo-bangla
 night pack er dam bara ta khub kharap holo ,anglo-bangla
 Apnader special offer amader kache special na......gp sim to girlfriend er moto hoye gecha.....atto sms....kintu aktau kaje dai na ,anglo-bangla
Amader bortomane ekti special number er campaign cholche. ,anglo-bangla
 amar sim Amar frinds er name ri rejiston korechi oi sim o jaliati koira utaice ekon ami ki korte pari ,anglo-bangla
 dine to hazar ta sms den .  AMONTRON package ta off kore disen oita user der update kora uchit chilo ki na? ,anglo-bangla
 ami new sim a 5gb free pabo pelam prothom 1gb akhon koto din por koi tk recharge korle 1gb pabo please ans? ,anglo-bangla
 Vaiya wowbox a 2gb internet er price jodi aro komai dito tahole aro valo hoto ,anglo-bangla
 amra protidin internet chalai tahola amader jonno ki offer asa bola jaba ,anglo-bangla
 Vaya . sim registation korle j 1GB pawa jto oi offr ta ki ekno ache ,anglo-bangla
 Gp bondho sim e kono offer ache ki?? ar thakle koto takai koto mb? ,anglo-bangla
 Grameen bondho songjog...e ki kno offer ase...??? ,anglo-bangla
 Notun sim er price koto? Amar pochonder no ami kivabe pabo? ,anglo-bangla
 GP te ekhon kono valo night pack ache thakle bolen plz ,anglo-bangla
 Vai amar sim a 2 taka 50 mb disha kintu koto daial kanrta hoba ,anglo-bangla
 Gpay te sorbo nimno koto taka dhukano jabe? ,anglo-bangla
 Ey offer ki puraton ba notun duto sim ey pawa jabe??? ,anglo-bangla
 Vaiya Wow box a token offer gulo abar kobe dewa hobe ??? ,anglo-bangla
 porichito bondo sim er kono offer ase ki?? ,anglo-bangla
 5 tk te 500 mbr offer ti ki ekhon k ace ? ,anglo-bangla
 Gp bondho connection a Internet r ki offer ache?? ,anglo-bangla
 Postpaid sim ke prepaide poriborton kora jabe ki bolben ,anglo-bangla
 *121*19 dile kore gp er kon packeg jonno 1gb 9tk te ,anglo-bangla
 Gp ar bondho sim e 8 gb r offer ta ki nai? ,anglo-bangla
 amr sim e 5 tk 500 mb paoa jabe ki na.. kivabe bujhbo ,anglo-bangla
 GP bondo SM ar offer ta ektu bolan... ,anglo-bangla
 Gp te ki SMS er kno bundle ase ,anglo-bangla
 gp bondho sim er ki kono mb er offer ase. ,anglo-bangla
 Bondo sim a ke kno offer aca. ,anglo-bangla
 Akhon bondho sim a ki offer ase??? ,anglo-bangla
 ami akta nite chai 3000 takar modhe ,anglo-bangla
 Taka ni ke dia nebo ,anglo-bangla
 gp modem ar jonno ki offer ace??? ,anglo-bangla
 vai gp te 100 sms kine koto diye plz aktu bolben ,anglo-bangla
 Bondho sim e kono offer ace ki?? thakle kivabe dekhte hobe onno number theke? ,anglo-bangla
 aree vai grameen onno sob sim e 5 takay 500 mb offer ase but amar sim e ase na keno ,anglo-bangla
 Nid Card nei BT amake Gp sim kintei hobe kew nid card diye sim kine dilo na. sim kiner jonno ki onno kono option ase ,anglo-bangla
 49 tk flaxiload korle ki 1gb internet pabo? ,anglo-bangla
 gp te rat a net use korar ki ki pack ase ,anglo-bangla
Ami ekta new GP sim kine felsi...Ar ami 100tk recharge kore felsi bhule...,anglo-bangla
Ekon ki New sim er Ar kunu offer ase ...?,anglo-bangla
 Amr phone wowbox ta open hoy na kno plz aktu bolen ,anglo-bangla
 @Shakil Ahmed .  Amader   Emergency Balance   service e balance er limit apnar monthly usage er upor depend kore change hoye thake BDT 11 theke BDT 200 porjonto. Apnar number ti theke koto taka emergency balance avail korte parben jante kindly *577*12# Free dial korun. ,anglo-bangla
Amader ei offer ti app update deyar 48 hour er moddhoe apni peye jaben. ,anglo-bangla
Apnar SIM ti 365 din bondho thakle SIM er malikana poriborton hoye jabe. ,anglo-bangla
 jodi aro age off thake tahole ,anglo-bangla
Dukkhito .  apnar somossa ti amader kache clear hocche na. Kindly clear kore bolun. ,anglo-bangla
Amader ei app ti install korar 48hour er moddhe peye jaben.  ,anglo-bangla
 Apnader je handset prothm market a ashe seta ki nirdisto somoyer porobortite market theke uthai den?? ,anglo-bangla
 ami simti 7 bosor age sirajdikhan hote registration korsi. sei kagos potro ase amar kase. ami ki akhon gp sim ti riples korte parbo. ,anglo-bangla
 unlimited internet pakage ase naki ,anglo-bangla
jodi take tahole bistarito janaben plz... ,anglo-bangla
 Gp sim a free FacebookMessenger use kora jay ki? Jodi jay tobe seta kivabe korte hobe bolben pls ,anglo-bangla
 Wifi router er price koto and ctg kothai pawa jabe??? ,anglo-bangla
Dhonnobad .  apnar motamot ti share korar jonno. ,anglo-bangla
 Bondho sim chalu korle kono offer ase ki thakle bolen ,anglo-bangla
 Koto tk recharge korlea 28day er sob thakea kom tk koto mb pabo ,anglo-bangla
 gp bondho sim offer pabo ki na check dibo kivabe ,anglo-bangla
 bondhu package 9 tk te 1 gb neoya jacce na kano? ,anglo-bangla
 Gp bondo sim koy taka recharge kora lagbe r koy gb Internet pawa jabe ,anglo-bangla
 *111*10*6# ei nambar dial kore age sms kinechi ekhon dial korle dekhai wrong keyword.kal theke e problem hocche. ,anglo-bangla
 vai ami akta gp sim aro koeak 3mas er beshi mas age kine রেজিস্ট্রেশন kore r use korinay .  . akhn jodi ami ota on kori internet er ki offer pete pari . plz janaben... ,anglo-bangla
 4000 a voice search korte parsi na kan??? ,anglo-bangla
Dukkhito .  amader ekhon ei dhoroner kono offer nei. ,anglo-bangla
 তাহলে এ SMS আসে কেন যে Ei offer ti apnar package er jonno projojjo ,anglo-bangla
 @Arafat Momin .  Notun SIM e 34 taka recharge kore apni ekti special call rate upovhog korte parben. ,anglo-bangla
 @Muhammadi Rahman .  Eti amader regular kono offer noy Apni message peye thakle offer ti nite parben. ,anglo-bangla
 @Dear .  Amader   GP Music   service ti bondho kore nite nicher process ti follow korun,anglo-bangla
 @Sohanur Rahman .  Bortomane amader e dhoroner regular kono offer nei. ,anglo-bangla
 Jongi ar prothom alor dalal.Bangladesh k je tothakothito sadhin bole ,anglo-bangla
 @Dear .  Bortomane amader e dhoroner regular kono offer nei. Apni message peye thakle offer ti nite parben. ,anglo-bangla
Ei offer ti somporke aro jante kindly ei link httpwww.gr ,anglo-bangla
Apnar number ti ei offer er jonno eligible kina jante OctSpace017XXXXXXXX likhe p ,anglo-bangla
 @ Dear Customer .  Dukkhito .  bortomane amader ei rokom kono regular offer nei. Tobe apni jodi   GP Offer   theke emon kono SMS peye thaken .  tahole kindly SMS ti follow korar jonno onurodh korchhi. Apnar SIM er jonno deya nirdishto offer somporke jante doya kore dial korun *121#. ,anglo-bangla
 nimno koto tk y 30 din barano jabe details bolen pls ,anglo-bangla
 @John .  dukkhito .  amader emon kono regular offer chalu nei. Apni SMS pele sheta onushoron kore offer ti nite parben. ,anglo-bangla
 16 minutes er offer ti nite ki dial krte hobe? ,anglo-bangla
 @সাইফুল .  apni minute pack diye super FnF e kotha bolte parben. ,anglo-bangla
 @Asik .  dukkhito .  amader emon kono regular offer chalu nei. Apni SMS pele sheta follow kore offer ti nite parben. ,anglo-bangla
Ei offer ti somporke aro jante kindly ei link httpwww.grameen ,anglo-bangla
 Seta jani but ami free mb kotha bolci plz free mb pawa jabe kivabe ,anglo-bangla
Apnar number ti ei offer er jonno eligible kina jante OctSpace017XXXXXXXX li ,anglo-bangla
 ami 5 taka diye 500 mb kinci .  meyed holo 7 din .  akon 5 din holo ami r messenger sara r kicho use korte partacina atar karon ki janan???? ,anglo-bangla
 Gp sim a bortoman olpo taka te beshi minite kenar kono big offer ace ki ,anglo-bangla
 Flexiplan app ta update dewar 12 hours hoye gelo but 49mb pelam na keno? ,anglo-bangla
 thanks ami DataEye app ti paisi and sorry acca ata ta ki coc ar onno id connected cora jai na ,anglo-bangla
Dukkhito ei app tir bishoye amader ekhan theke kono tottho die shohayota kora shomvob hocche na. ,anglo-bangla
 mean ai 15 mb dai jodi ami amir coc ar onno id ta jeta chi taholi jao jeba ki ,anglo-bangla
 ami 89 tk recharge kote 1gb nile taka ki kete niye jabe na account e thakbe??? ,anglo-bangla
 gp ar bondho sim ar kono offer ache ki????thakle janaben plz. ,anglo-bangla
 Notun prepaid Grameenphone sim er daam koto r ki offer ase ,anglo-bangla
 sorbonimno koto takay 1 week er jonno 1gb internet newa jabe???? ,anglo-bangla
 12 takar mb pack ekta ace na oitar jonno koto dail korte hoi ,anglo-bangla
 gp te free messenger ki off hoye gese? ,anglo-bangla
 Free mb ki pabo na.?? ,anglo-bangla
 Grameen Sim A Khub Kom rete kotha bolte hole ki korte Hobe bolun plzzzzzzzzz Vaiya? ,anglo-bangla
 gp to gp taka transfer kore kivabe kew ki jano? ,anglo-bangla
 Gp modem price koto r shate ki gp sim free ase naki kindly janan ,anglo-bangla
 sir .  amar sim registration hoice ki na seta kivabe bujbo........?????? ,anglo-bangla
Ami ki ki offer pabo...data offer ki paoa jabe ki... ,anglo-bangla
 29 taka 2gb offer ta ki asay????night pack ar offer ta???? ,anglo-bangla
 ami tk lod korle mb kina hoy jy .  .  .  mb offer calu kora .  .  .  plz bolben ki kore oto mb bondo kora jy .  .  .  .  ,anglo-bangla
 Hi vaiya Grameen Sim a ki korle khub kom rete kotha bola jabe? ,anglo-bangla
 @Tuhin Islam .  Apnar number ti theke ei eki offer ti punorae meyad thaka kalin shomoy active korle apnar bortoman data er sathe notun data add hoye jabe. Ekhetre .  apni maximum vailidity enjoy korte parben. ,anglo-bangla
 @Shaon Khan . Apnar number ti theke ei eki offer ti punorae meyad thaka kalin shomoy active korle apnar bortoman data er sathe notun data add hoye jabe. Ekhetre .  apni maximum vailidity enjoy korte parben. ,anglo-bangla
 Ai Mb ki *566*10# Diye cheak kora jai,anglo-bangla
Apnar number ti ei offer er jonno eligible kina jante OctSpace017XXXXXXXX ,anglo-bangla
 Are vai ami vot fm ar niomito srota. Ato din theke sune assi Kinto kono din voy painai ,anglo-bangla
 eta kothay theke kina jabe ,anglo-bangla
 @Ral Jibn  .  Dhukkhito .  amader ei handset ti ekhon available nei. ,anglo-bangla
 01768523742 ei number app ti use kori...plz ektu deakhen ki problem.....plz ,anglo-bangla
Apnar number ti ei offer er jonno eligible kina jante OctSpace017XXXXXXXX l ,anglo-bangla
 Imo r whats app use kora jabe ei pack ta diye?? or only fb?? ,anglo-bangla
 social pack ta ki kore nai. #raz ,anglo-bangla
 social pack ta diye ki only fb use korte parbo? ,anglo-bangla
 @Musa .  Ei service tir jonno amader website ti visit korun. ,anglo-bangla
 @Rafiul .  Dukkhito ei bishoye kono tottho die sohojogita korte parchi na. ,anglo-bangla
Apnar number ti ei offer er jonno eligible kina jante OctSpace017XXXXXXXX likhe pathiye ,anglo-bangla
 Service ta to onek din theke e off Ato slow kaaj korle to cholbena ,anglo-bangla
 @Ayesha .  Ei bishoye bistarito totther jonno amader website ti visit korun. ,anglo-bangla
Apnar number ti ei offer er jonno eligible kina jante OctSpace017XXXXXXXX likhe pathiy ,anglo-bangla
Dukkhito .  amader ekhon sokol SIM 3G jodi apnar SIM ti 3G na hoye thake tahole nikotostho amader nijessho customer care theke sompurno free te SIM replace kore nite paren.,anglo-bangla
Dukkhito .  amader ekhon ei dhoroner kono package nei. Amader package gulo somporke jante kindly amader website visit korun. ,anglo-bangla
Dukkhito . Ei rokom kono feature bortomane amader cholcche na. ,anglo-bangla
 ami to akbar nea r nite parsina  ,anglo-bangla
 flexiplan er gift option kaj kore na kno??,anglo-bangla
 Accha bhai ame ekta gp recharge card kenlam but seta recarge korte partese na ke bhabe korbo ,anglo-bangla
 Onek valo laglo......ashole manusher issa shokti e shob ,anglo-bangla
 Gp bondho sim er kono internet offer ache?? ,anglo-bangla
 New sim a ki lmo khulte hoy na agerta diye hobe. ,anglo-bangla
 Off sim a Internet er kono offer ache ki? ,anglo-bangla
 1 taka theke 10 porgonto takar akti darun internet offer din. ,anglo-bangla
 gp bondo sim a ki kuno offer ache? ,anglo-bangla
 sim ta 3 g korar system ta ki vi.kindly jodi boltan. ,anglo-bangla
 flexiplan chara ki onno kono upaye sms gift kora jabe? ,anglo-bangla
 gp te naki 1takai 100 mb paoa jacche..offer ti kivabe nei ,anglo-bangla
 gp ta bondo sim a offer asa ki ,anglo-bangla
 bondho offer 500mb kore koto bar neya jabe? ,anglo-bangla
 5 tk 500 mb ki sobar jonno r aita koybar kina jabe ,anglo-bangla
 2gb night pack er code ta din plz. ,anglo-bangla
 sms kivabe kine jodi keu janen plz janaben ,anglo-bangla
 pc er jonno unlimited kono internet pack nai ,anglo-bangla
 mb to kina jay na ,anglo-bangla
 gp te kom takai mb er ki ki offer ase? ,anglo-bangla
 Bondho sim er kno offee ase ki? ,anglo-bangla
 BRO 5tk dia 500akhon Ki kina jai na ,anglo-bangla
 gp bondho sim e ki kono data offer ache???? kindly janaben ,anglo-bangla
Amader ei offer ti meyad ses e use kora jabe na. ,anglo-bangla
 vai ami r apnader sim use korbo nah jodi ans na dan ,anglo-bangla
 gp te 49 takay 2gb night pack ta kotote dial korle paoya jay vai? ektu taratari bolle valo hoto ,anglo-bangla
 gp te bondho 5 tk 500 mb offer ta ki ase??? ,anglo-bangla
 sim ta 3G korar system ta ki please keu janle bolben.... ,anglo-bangla
 flexiplan gift options ti koto din por chalu hobe janaben please ,anglo-bangla
echara bondu ba always open sim e ki kono offar cholce?? ,anglo-bangla
Bondho sim a 5tk diye 500mb total koto bar neya jabe . ,anglo-bangla
 hello sir.good morning... Help me please.... Amr bondhu der sobar Gp sim e 4.99 tk 500 mb ase 7 diner jonno.kintu amr ase na kano... ,anglo-bangla
 @RH Badon .  Apni ekhan theke jekono 1 ti select kore apni ki dhoroner pack chacchen ta nite paren. ,anglo-bangla
 sir ami akhan theke je kono akta active korar porar por ki ami 500 mb kinte parbo. ,anglo-bangla
 vai amar akta gp sim asa kinto taka basi kata tai taka vorina but kom khorosa ja kono nambara kotha bola jabona jodi bola jai tahola ajibon ak sim us korbo plezz bolban ,anglo-bangla
 Ami amr gp sim ar call list ta Dakte hole kon app ta download korte hobe...,anglo-bangla
 ami sms kinte cai kintu ki vabe kinbo ,anglo-bangla
Dukkhito .  Apnar query ti amader kache clear na.Onugroho kore bistarito bolun. ,anglo-bangla
Dukkhito eti amader regular kono offer na .  tobe GP OFFER theke SMS peye thakle se onujaiee nirdeshona onushoron korle offerti pete paren. Esarao .  apnar number er jonno special offer jante dial korun *121#,anglo-bangla
Number tir verification er jonno nicher information niye amader sathe jogajog korun ,anglo-bangla
 exap. 1 month 100 tk. er besi charge hobe na Ei rokhom kisu ase ,anglo-bangla
 ‎সোহরাব হোসেন জুয়েল‎ .  Dukkhito .  bortomane amader ei rokom kono regular offer nei. Tobe apni jodi   GP Offer   theke emon kono SMS peye thaken .  tahole kindly SMS ti follow korar jonno onurodh korchhi. Apnar SIM er jonno deya nirdishto offer somporke jante doya kore dial korun *121#. ,anglo-bangla
 Bortoman a bondho sim ar jnno data ki offer colcha aktu janaban... ,anglo-bangla
 @ ‎Habib Ahsŋ‎ .  Dukkhito .  bortomane amader ei rokom kono regular offer nei. Tobe apni jodi   GP Offer   theke emon kono SMS peye thaken .  tahole kindly SMS ti follow korar jonno onurodh korchhi. Apnar SIM er jonno deya nirdishto offer somporke jante doya kore dial korun *121#. ,anglo-bangla
 1 din a ki 5 bar neya jabe? ,anglo-bangla
 ager veesion diye hobe sure? ,anglo-bangla
 Gpay wallet thake ar ak gpay wallet a ki sent mani korar kono sistem nai ,anglo-bangla
 @Joy .  Muloto 2 ti bishoyer upor vitti kore apni Star grahok hote paren. Bishoy gulo holo ,anglo-bangla
Echara .  amader Star Customer kivabe hote hoy ta bistarito janar jonno ei link ti httpwww.grameenphone.comstar programhow be star visit korar onurodh korchi. ,anglo-bangla
 Sim er boyosh koto years hole ami star hote parbo? ,anglo-bangla
 Ki r korbire vai.ovijog kore ki kono lav hobe? ,anglo-bangla
 @Jahid Hasan . 121 e call kore customar care representative er sathe sorasori kotha bolte paren. ,anglo-bangla
 @Dear . Amader besh kichu talktime offer ache apni *121# dial kore or website theke pack gulo nite paren. ,anglo-bangla
